correctness,reasoning,UrduLanguageFluency,clarity,completeness,row_idx
1,1,3,3,2,110
1,1,4,3,2,111
5,5,3,5,5,112
5,5,5,5,5,113
5,5,4,5,5,114
5,5,4,5,5,115
5,5,4,5,5,116
5,5,5,5,5,117
5,5,5,5,5,118
1,2,3,2,2,119
5,5,4,5,5,120
5,5,5,5,5,121
1,1,4,2,2,122
5,5,4,5,5,123
1,1,2,1,1,124
5,5,4,5,5,125
5,5,5,5,5,126
5,5,4,5,5,127
5,5,5,5,5,128
1,1,4,3,2,129
5,5,4,5,5,130
5,5,5,5,5,131
5,5,4,5,5,132
5,5,4,5,5,133
5,5,5,5,5,134
5,5,5,5,5,135
5,5,5,5,5,136
5,5,4,5,5,137
5,5,5,5,5,138
5,5,5,5,5,139
5,5,5,5,5,140
5,5,5,5,5,141
5,5,5,5,5,142
5,5,5,5,5,143
5,5,4,5,5,144
5,5,4,5,5,145
5,5,4,5,5,146
1,2,4,3,2,147
5,5,5,5,5,148
5,5,5,5,5,149
5,5,5,5,5,150
5,5,4,5,5,151
5,5,5,5,5,152
1,1,3,2,2,153
1,2,4,4,2,154
5,5,4,5,5,155
5,5,5,5,5,156
1,2,4,3,3,157
5,5,4,5,5,158
1,1,4,3,2,159
5,5,5,5,5,160
5,5,5,5,5,161
1,2,4,4,3,162
5,5,4,5,5,163
5,5,4,5,5,164
5,5,5,5,5,165
5,5,5,5,5,166
5,5,5,5,5,167
5,5,5,5,5,168
1,1,3,3,3,169
5,5,5,5,5,170
5,5,4,5,5,171
5,5,4,5,5,172
5,5,5,5,5,173
5,5,5,5,5,174
1,1,3,2,2,175
5,5,5,5,5,176
5,5,5,5,5,177
5,5,5,5,5,178
5,5,5,5,5,179
5,5,5,5,5,180
5,5,5,5,5,181
5,5,4,5,5,182
5,5,4,5,5,183
1,1,2,2,2,184
5,5,5,5,5,185
5,5,5,5,5,186
5,5,5,5,5,187
5,5,4,5,5,188
1,1,3,2,2,189
5,5,5,5,5,190
5,5,5,5,5,191
5,5,5,5,5,192
1,2,4,4,4,193
1,2,4,4,4,193
5,5,5,5,5,194
5,5,5,5,5,195
5,5,5,5,5,196
5,5,5,5,5,197
1,1,4,3,3,198
5,5,4,5,5,199
5,5,5,5,5,200
5,5,4,5,5,201
5,5,5,5,5,202
1,1,4,4,3,203
5,5,4,5,5,204
5,4,4,4,4,205
5,5,4,5,5,206
5,5,5,5,5,207
5,5,4,5,5,208
1,2,4,3,3,209
5,5,4,5,5,210
5,5,4,5,5,211
5,4,3,4,5,212
5,5,4,5,5,213
1,1,2,1,2,214
5,5,5,5,5,215
5,5,5,5,5,216
5,5,4,5,5,217
1,4,4,4,4,218
5,5,4,5,5,219
5,5,5,5,5,220
5,5,5,5,5,221
5,5,5,5,5,222
5,5,5,5,5,223
5,5,4,5,5,224
5,5,5,5,5,225
5,5,5,5,5,226
5,5,4,5,5,227
5,5,4,4,5,228
5,5,5,5,5,231
1,2,4,4,3,232
1,2,4,4,3,233
1,3,4,4,3,234
5,5,5,5,5,235
1,1,3,1,1,236
5,5,4,5,5,237
5,5,4,5,5,238
5,5,5,5,5,239
5,5,5,5,5,240
1,1,3,2,1,241
1,2,4,3,4,242
5,5,4,5,5,243
5,5,4,5,5,244
5,5,5,5,5,245
5,5,4,5,5,246
5,5,5,5,5,247
5,5,4,5,5,248
1,4,4,4,4,249
